solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t
31,31,No_Bio,2,2050,0.08029,0.28905,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,112.76392369999999,6.206536000000002,80.25,23.3073877,109.76392369999999,3.0,0.535,0.545165204,0,0,0,CEM2-(Afm),cement,0.0,0.0,0.0,0.0
32,32,No_Bio,2,2050,0.168,0.6048,3.8598,0,0,0,0,0,0,0,0,0,0,0,0.10931,0,0,0,0,0,0,0,0,0,0,0,77.2789277,12.678204000000001,19.349999999999998,23.3073877,68.2789277,9.0,0.129,0.149990756,0,0,0.516,CEM2-(Afm)MEA,cement,3.875968992248062,12.541992248062014,16.417961240310078,8.471668000000001
33,33,No_Bio,2,2050,0.13178,0.4744,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,134.8498037,9.810836,13.199999999999998,30.4150477,74.8498037,60.0,0.088,0.10434400399999999,0,0,0.448,CEM2-(Afm)CaL,cement,42.410714285714285,23.91062499999999,66.32133928571427,29.711959999999994
34,34,No_Bio,2,2050,0.16048,0.57773,3.04633,0,0,0,0,0,0,0,0,0,0,0,0.08627,0,0,0,0,0,0,0,0,0,0,0,72.34559798000001,11.958268,13.799999999999999,25.23288046,66.34559798000001,6.0,0.092,0.11191325199999999,0,0,0.485,CEM2-(Afm)Oxy-MEA,cement,2.061855670103093,15.829329402061855,17.891185072164948,8.67722476
35,35,No_Bio,2,2050,0.14043,0.50554,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,105.4743767,10.416336000000001,11.25,27.6677387,66.47437670000001,39.0,0.075,0.09238200399999999,0,0,0.457,CEM2-(Afm)Oxy-CaL,cement,26.258205689277897,18.753065645514223,45.01127133479212,20.570151
36,36,No_Bio,2,2050,0.08029,0.28905,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,2.3205712276876997e6,2.3204936203e6,51.300000000000004,23.3073877,2.3205682276876997e6,3.0,0.342,0.3516348,0,0,0,CEM2-(BMW),cement,0.0,0.0,0.0,0.0
37,37,No_Bio,2,2050,0.19083,0.687,0,0,4.47081,0,0,0,0,0,0,0,0,0,0,0,0.34657,0,0,0,0,0,0,0,0,0,6.587906941087699e6,3.7429693581e6,-46.199999999999996,23.3073877,6.587897941087699e6,9.0,-0.308,-0.2851004,0,0,0.65,CEM2-(BMW)MEA,cement,3.0769230769230766,2.1884242119999994e6,2.1884272889230764e6,1.4224777377999998e6
38,38,No_Bio,2,2050,0.14125,0.50849,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,2.3205958976177005e6,2.3204978875e6,-28.2,31.7634977,2.3205268976177005e6,69.0,-0.188,-0.17105,0,0,0.53,CEM2-(BMW)CaL,cement,41.50943396226415,24.006245283515383,65.51567924577952,34.72331000026315
39,39,No_Bio,2,2050,0.18001,0.64805,0,0,3.16165,0,0,0,0,0,0,0,0,0,0,0,0.24509,0,0,0,0,0,0,0,0,0,3.300007993030459e6,2.6469846007e6,3.0,26.34876862,3.300001993030459e6,6.0,0.02,0.041601200000000005,0,0,0.706,CEM2-(BMW)Oxy-MEA,cement,1.41643059490085,462456.12150271924,462457.53793331416,326495.0217809198
40,40,No_Bio,2,2050,0.15984,0.57541,0,0,2.77171,0,0,0,0,0,0,0,0,0,0,0,0.21486,0,0,0,0,0,0,0,0,0,2.3205941402771003e6,2.3204991888e6,2.1,28.7764175,2.3205521402771003e6,42.0,0.014,0.0331808,0,0,0.665,CEM2-(BMW)Oxy-CaL,cement,19.548872180451127,16.59778917306348,36.1466613535146,24.037529800087214
