solution_id,configuration_id,scenario_id,aidres_sector_id,horizon,electricity_[mwh/t],electricity_[gj/t],alternative_fuel_mixture_[gj/t],biomass_[gj/t],biomass_waste_[gj/t],coal_[gj/t],coke_[gj/t],crude_oil_[gj/t],hydrogen_[gj/t],methanol_[gj/t],ammonia_[gj/t],naphtha_[gj/t],natural_gas_[gj/t],plastic_mix_[gj/t],alternative_fuel_mixture_[t/t],biomass_[t/t],biomass_waste_[t/t],coal_[t/t],coke_[t/t],crude_oil_[t/t],hydrogen_[t/t],methanol_[t/t],ammonia_[t/t],naphtha_[t/t],natural_gas_[t/t],plastic_mix_[t/t],totex_[eur/t],opex_var_[eur/t],co2_allowance_[eur/t],opex_cst_[eur/t],opex_[eur/t],capex_[eur/t],direct_emission_[tco2/t],total_emission_[tco2/t],direct_emission_reduction_[%],total_emission_reduction_[%],captured_co2_[tco2/t],route_name,product_id,capex_cc_eur_tCO2,opex_cc_eur_tCO2,totex_cc_eur_tCO2,totex_cc_eur_t,Additional_cc_capex
22,22,Exit_no_CDR,2,2050,0.17339,0.62419,0,0,0,4.01198,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,93.91303732648001,29.1373,20.55,23.3073877,72.9946877,20.91834962648,0.137,0.22476640000000003,0,0,0.548,CEM2-(Coal)MEA,cement,3.64963503649635,26.431569343065693,30.081204379562042,16.4845,29.04808326
23,23,Exit_no_CDR,2,2050,0.13068,0.47045,0,0,0,2.1318,0,0,0,0,0,0,0,0,0,0,0,0.07226,0,0,0,0,0,0,0,0,95.06771913788,18.180100000000003,12.899999999999999,30.26455867,61.34465867,33.72306046788,0.086,0.13725881099999998,0,0,0.438,CEM2-(Coal)CaL,cement,41.0958904109589,23.937148333333333,65.03303874429224,28.48447097,29.04808326
24,24,Exit_no_CDR,2,2050,0.19246,0.69286,0,0,0,3.09002,0,0,0,0,0,0,0,0,0,0,0,0.10475,0,0,0,0,0,0,0,0,92.09714575054001,26.56595,16.2,27.05995138,69.82590138,22.27124437054,0.108,0.1826688625,0,0,0.629,CEM2-(Coal)Oxy-MEA,cement,1.589825119236884,24.905745119236883,26.495570238473768,16.66571368,29.04808326
25,25,Exit_no_CDR,2,2050,0.15877,0.57156,0,0,0,2.14526,0,0,0,0,0,0,0,0,0,0,0,0.07272,0,0,0,0,0,0,0,0,91.85191111758,20.203900000000004,12.450000000000001,28.71538274,61.36928274,30.48262837758,0.083,0.137856092,0,0,0.533,CEM2-(Coal)Oxy-CaL,cement,22.5140712945591,20.561153921200745,43.07522521575984,22.959095039999998,29.04808326
26,26,Exit_no_CDR,2,2050,0.08029,0.28905,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,125.34787347777777,29.590485777777776,69.45,23.3073877,122.34787347777777,3.0,0.463,0.4881265533333333,0,0,0,CEM2-(NG),cement,0.0,0.0,0.0,0.0,0.0
27,27,Exit_no_CDR,2,2050,0.15497,0.5579,0,0,0,0,0,0,0,0,0,0,3.69103,0,0,0,0,0,0,0,0,0,0,0,0.07539,0,108.33681780669554,51.77732155555555,16.5,23.3073877,91.58470925555554,16.752108551139997,0.11,0.15504878166666666,0,0,0.439,CEM2-(NG)MEA,cement,2.277904328018223,50.53948924322956,52.817393571247784,23.186835777777777,29.04808326
28,28,Exit_no_CDR,2,2050,0.12484,0.44943,0,0,0,0,0,0,0,0,0,0,2.16164,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,103.81503169939778,32.70898577777778,11.399999999999999,29.4644377,73.57342347777778,30.241608221619998,0.076,0.10647255333333333,0,0,0.387,CEM2-(NG)CaL,cement,41.343669250645995,23.96782945736434,65.31149870801033,25.27555,29.04808326
29,29,Exit_no_CDR,2,2050,0.2133,0.76789,0,0,0,0,0,0,0,0,0,0,3.13951,0,0,0,0,0,0,0,0,0,0,0,0.06412,0,119.58181389931555,49.74467755555555,16.95,28.25063206,94.94530961555554,24.63650428376,0.113,0.16109582166666667,0,0,0.676,CEM2-(NG)Oxy-MEA,cement,2.9585798816568047,37.126384819197895,40.0849647008547,27.097436137777777,29.04808326
30,30,Exit_no_CDR,2,2050,0.17324,0.62365,0,0,0,0,0,0,0,0,0,0,2.17962,0,0,0,0,0,0,0,0,0,0,0,0.04452,0,111.30055034189999,36.296364,13.049999999999999,29.5420193,78.88838329999999,32.4121670419,0.087,0.12340941,0,0,0.565,CEM2-(NG)Oxy-CaL,cement,23.008849557522126,22.90355720747297,45.9124067649951,25.94050982222223,29.04808326
31,31,Exit_no_CDR,2,2050,0.08029,0.28905,2.46427,0,0,0,0,0,0,0,0,0,0,0,0.06979,0,0,0,0,0,0,0,0,0,0,0,112.76392369999999,6.206536000000002,80.25,23.3073877,109.76392369999999,3.0,0.535,0.545165204,0,0,0,CEM2-(Afm),cement,0.0,0.0,0.0,0.0,0.0
